,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,0,其他,124086006,智能手表,c2id,956385,91795
1,0,其他,120878006,智能手环,c2id,863660,95863
2,0,其他,50023745,血压计（电子血压计）,c3id,475475,54810
3,0,其他,124174008,智能手表手环表带/腕带,c3id,440968,60993
4,0,其他,124698020,智能机器人,c2id,325638,50278
5,0,其他,123242003,智能排插,c3id,152402,38292
6,0,其他,124096010,智能摄像,c2id,150230,43629
7,0,其他,124138007,智能眼镜/VR头盔,c2id,144964,37782
8,0,其他,124130011,智能健康,c2id,125354,40664
9,0,其他,124146004,其他智能设备,c2id,96159,34768
10,0,其他,124754014,其他智能配件,c3id,60731,23404
11,0,其他,124712018,智能灯光,c3id,24197,16473
12,0,其他,124708025,智能飞行,c2id,18156,18038
13,0,其他,126498025,智能翻译机,c2id,14268,10630
14,0,其他,124192006,智能手表贴膜,c3id,11216,8884
15,0,其他,125082033,智能出行,c2id,10824,13613
16,0,其他,124738021,家居系统套装,c3id,10822,11173
17,0,其他,124088007,智能配饰,c2id,5506,7229
18,0,其他,124708026,AI语音助手,c3id,4676,7009
19,0,其他,124726017,智能安防,c3id,4360,7688
20,0,其他,124102008,运动跟踪器,c2id,3843,6466
21,0,其他,122368001,智能手环,c3id,3644,4775
22,0,其他,123350002,便秘,c3id,0,0
23,0,其他,123352002,心绞痛,c3id,0,0
24,0,其他,123354001,调经养颜,c3id,0,0
25,0,其他,123354003,肠胃炎,c3id,0,0
26,0,其他,123370001,其它心脑血管病,c3id,0,0
27,0,其他,122240009,小儿肠胃,c4id,0,0
28,0,其他,122300001,补气补血,c4id,0,0
29,0,其他,122302001,安神补脑,c4id,0,0
30,0,其他,122304001,健脾益肾,c4id,0,0
31,0,其他,50008144,国产白酒,c2id,0,0
32,0,其他,50008145,配制酒/果酒,c2id,0,0
33,0,其他,123264006,糖尿病,c3id,0,0
34,0,其他,123304005,免疫调节,c2id,0,0
35,0,其他,123328004,冠心病,c3id,0,0
36,0,其他,123318003,儿童肠胃,c3id,0,0
37,0,其他,123318005,肿瘤用药,c2id,0,0
38,0,其他,123326004,中风,c3id,0,0
39,0,其他,123332002,补气补血,c3id,0,0
40,0,其他,123336001,肝炎,c3id,0,0
41,0,其他,50023733,肠胃用药,c3id,0,0
42,0,其他,123338003,眼科用药,c3id,0,0
43,0,其他,50023740,感冒咳嗽,c3id,0,0
44,0,其他,50023737,妇科用药,c3id,0,0
45,0,其他,50023742,维矿物质,c3id,0,0
46,0,其他,124102004,黄芪,c2id,0,0
47,0,其他,50011150,其它,c2id,0,0
