0,其他,120878006,智能手环,c2id,863660,95863
0,其他,50023745,血压计（电子血压计）,c3id,475475,54810
0,其他,124096010,智能摄像,c2id,150230,43629
0,其他,124754014,其他智能配件,c3id,60731,23404
1,游戏话费,50005462,QQ币/QQ卡,c2id,200474,46144
1,游戏话费,50007786,其他游戏帐号,c3id,68616,26694
2,服装鞋包,50008882,内裤,c2id,41593718,560022
2,服装鞋包,50012772,睡衣/家居服套装,c2id,22068725,345382
2,服装鞋包,50011159,风衣,c2id,3503377,146844
2,服装鞋包,50008898,卫衣/绒衫,c2id,19651225,384631
3,手机数码,1512,手机,c1id,14377774,336411
3,手机数码,50015940,传感器,c3id,58679,16235
3,手机数码,50012677,笔记本/记事本,c3id,1637891,92722
3,手机数码,110808,普通路由器,c3id,1279536,112728
4,家用电器,50012097,搅拌/料理机,c2id,5228190,169254
4,家用电器,350201,剃须刀,c3id,4126767,174
4,家用电器,50228001,无线/蓝牙音箱,c3id,3189441,185385
4,家用电器,350402,空气净化/氧吧,c2id,1268442,118369
5,美妆饰品,50010815,香水,c2id,11238784,124703
5,美妆饰品,50010805,腮红/胭脂,c2id,874680,65481
5,美妆饰品,50018896,眼镜螺丝刀,c3id,192105,32697
5,美妆饰品,50007078,电子烟/烟油,c3id,2427556,160274
6,母婴用品,50010218,四轮推车,c3id,1602094,124322
6,母婴用品,50023759,踏行车/滑行学步车,c3id,146040,35440
6,母婴用品,121422025,糖果,c3id,35461,16056
6,母婴用品,50009531,食物研磨器,c3id,672193,76139
7,家居建材,50019997,实木床,c3id,3281886,160271
7,家居建材,50013568,玻璃胶,c4id,868005,88417
7,家居建材,50020633,皮艺沙发,c3id,638562,68015
7,家居建材,50006219,电钻,c3id,1586471,122601
8,百货食品,50008056,糖果,c3id,11098042,305400
8,百货食品,50010420,养生茶,c2id,2606860,171449
8,百货食品,123040002,毛巾/面巾,c3id,833790,48625
8,百货食品,50024781,保温壶,c3id,111060,24995
9,运动户外,50014775,手电筒,c3id,2118778,144190
9,运动户外,50013933,运动户外风衣,c3id,1397727,101381
9,运动户外,50012323,羽毛球拍,c3id,1136391,97354
9,运动户外,122716008,自平衡电动车,c3id,219849,42119
13,汽配摩托,50010595,汽车儿童安全座椅,c3id,446111,61503
13,汽配摩托,261712,车用氧吧/空气净化器,c4id,398993,50882
13,汽配摩托,261706,车载充气泵,c4id,181402,34270
