,pcid,pcidname,cid,cidname,cidtype,comment_num,word_num
0,2,服装鞋包,50008882,内裤,c2id,41593718,560022
1,2,服装鞋包,50012772,睡衣/家居服套装,c2id,22068725,345382
2,2,服装鞋包,50000697,毛针织衫,c2id,21792286,406257
3,2,服装鞋包,50008881,文胸,c2id,21139612,396937
4,2,服装鞋包,50008898,卫衣/绒衫,c2id,19651225,384631
5,2,服装鞋包,50011277,短外套,c2id,16017642,380752
6,2,服装鞋包,50008901,风衣,c2id,5220062,225939
7,2,服装鞋包,50012019,旅行箱,c2id,3818794,185759
8,2,服装鞋包,50011159,风衣,c2id,3503377,146844
9,2,服装鞋包,121462009,智能手环,c3id,20786,11532
10,2,服装鞋包,50008884,塑身上衣,c2id,0,0
11,2,服装鞋包,50008888,抹胸,c2id,0,0
12,2,服装鞋包,162201,休闲裤,c3id,0,0
13,2,服装鞋包,50011411,医护制服,c3id,0,0
14,2,服装鞋包,50025885,棉裤,c2id,0,0
15,2,服装鞋包,50008899,羽绒服,c2id,0,0
16,2,服装鞋包,50013196,马夹,c2id,0,0
17,2,服装鞋包,50008904,皮衣,c2id,0,0
18,2,服装鞋包,50011130,西服套装,c2id,0,0
19,2,服装鞋包,50011153,背心/马甲,c2id,0,0
20,2,服装鞋包,50011165,棉衣,c2id,0,0
21,2,服装鞋包,50011167,羽绒服,c2id,0,0
22,2,服装鞋包,1629,大码女装,c2id,0,0
23,2,服装鞋包,50010850,连衣裙,c2id,0,0
24,2,服装鞋包,50011123,衬衫,c2id,0,0
25,2,服装鞋包,3035,休闲裤,c2id,0,0
26,2,服装鞋包,50012825,高帮鞋,c2id,0,0
27,2,服装鞋包,50008890,肚兜,c2id,0,0
28,2,服装鞋包,50012785,吊袜带,c2id,0,0
29,2,服装鞋包,50009035,手帕,c2id,0,0
30,2,服装鞋包,50009047,其他配件,c2id,0,0
31,2,服装鞋包,50011743,靴子,c2id,0,0
32,2,服装鞋包,50012784,肩带,c2id,0,0
33,2,服装鞋包,121434005,钱包,c2id,0,0
34,2,服装鞋包,50007003,围巾/丝巾/披肩,c2id,0,0
35,2,服装鞋包,50010394,吊带/背心/T恤,c2id,0,0
36,2,服装鞋包,50012771,睡裙,c2id,0,0
37,2,服装鞋包,50012774,塑身美体裤,c2id,0,0
38,2,服装鞋包,50008883,文胸套装,c2id,0,0
39,2,服装鞋包,50009042,新娘头饰,c3id,0,0
40,2,服装鞋包,50009043,婚纱手套,c3id,0,0
41,2,服装鞋包,162401,职业女裙套装,c3id,0,0
42,2,服装鞋包,162402,职业女裤套装,c3id,0,0
43,2,服装鞋包,162703,民族服装/舞台装,c3id,0,0
44,2,服装鞋包,50006846,短袜/打底袜/丝袜/美腿袜,c2id,0,0
45,2,服装鞋包,50009049,鞋带,c4id,0,0
46,2,服装鞋包,50008905,皮草,c2id,0,0
47,2,服装鞋包,50008900,棉衣/棉服,c2id,0,0
48,2,服装鞋包,121434004,抹胸,c2id,0,0
49,2,服装鞋包,162404,休闲运动套装,c3id,0,0
