,itemid,comment_id,comment_all,comment_date
0,10050303289,310187100786,可以,20170512
1,10050303289,267606288062,可以,20160315
2,10050303289,262326832891,东西收到还没用，快递送来盒子都烂了，送的陶瓷剥刀根本是塑料的，售后还死不承认，外面包装壳和里面东西都不符，本来别家便宜10块都没买，冲着赠品陶瓷剥刀的，结果很失望，沟通还反问我想怎么样！快递到了连个电话都不打，直接放单位楼下门卫那，不是我看状态根本不知道货到的！很不满意的一次购物，不会有下次了！,20160105
3,10050303289,274170933354,声音有点大，不过外观好看，使用方便。给个赞,20160525
4,10050303289,302063979888,好好好好好,20170225
5,10050303289,267883092577,挺好！用了感觉不错！,20160321
6,10050303289,271647475082,此用户没有填写评论!,20160502
7,10050303289,276152706533,九阳九阳的确不让,20160614
8,10050303289,276426418538,送朋友的礼物，她表示很好用,20160616
9,10050303289,278307503225,"机子不错,拿回来就打了杯奶昔，味道超冰爽，其它的还没用/希望也好用吧，五星好评",20160706
10,10050303289,276394366789,还可以应该是正品,20160615
11,10050303289,302539853792,暂时用着还好 会追加的。,20170301
12,10050303289,276674889856,不错很好用，磨出来的也不错,20160615
13,10050303289,262326832891,东西收到还没用，快递送来盒子都烂了，送的陶瓷剥刀根本是塑料的，售后还死不承认，外面包装壳和里面东西都不符，本来别家便宜10块都没买，冲着赠品陶瓷剥刀的，结果很失望，沟通还反问我想怎么样！快递到了连个电话都不打，直接放单位楼下门卫那，不是我看状态根本不知道货到的！很不满意的一次购物，不会有下次了！,20160105
14,10050303289,277064816507,各方面都可以，就是电源线短了点，谢谢赠品。,20160620
15,10050303289,282260282442,试了下榨汁还不错，不大会用客服也非常耐心的解答指导着，值得推荐,20160814
16,10050303289,278029904438,东西挺好的，包装也很好，回来没有破损，但是要把水果切的很小才会工作，有点麻烦。,20160630
17,10050303289,276665868912,挺好的,20160615
18,10050303289,292312123212,好的,20161118
19,10050303289,305036118158,虽然罐子有点瑕疵，售后的星星服务还是不错的，又给我重新发了个,20170325
20,10050303289,277426208340,应该还好吧，帮老妈同事买的。,20160623
21,10050303289,279821866298,用一次就坏了,20160718
22,10050303289,280592910245,还不错,20160728
23,10050303289,276484644357,宝贝很好奥，妈妈很喜欢，卖家还送了赠品，谢谢奥，以后还会再来的,20160615
24,10050303289,276260907359,不错，很好用，是正品。。,20160614
25,10050303289,309070150972,先好评吧 帮别人买的 不知道质量怎么样,20170430
26,10050303289,276299390074,真的很不错，打出来的东东很好喝，虽然打的不是很细，可是喝起来也不错，很喜欢1111,20160613
27,10050303289,276509565391,打了个梨汁，榨汁机还不错，可是不太会用出来就是糊糊啊,20160614
28,10050303289,301513531714,昨天收到，刚刚用了一次，除了声音大了点，其他方面感觉还不错的，好评一下吧。,20170218
29,10050303289,282451218782,好,20160819
30,10050303289,269140821261,宝贝很好，拿到后做了肉泥，宝宝辅食用应该很不错！,20160404
31,10050303289,276260913266,给家里买的，昨天拿到东西试用了，都挺好，唯一不足就是声音太大,20160613
32,10050303289,277905369656,声音大了一点，但很好用。,20160627
33,10050303289,309070150972,先好评吧 帮别人买的 不知道质量怎么样,20170430
34,10050303289,282260282442,试了下榨汁还不错，不大会用客服也非常耐心的解答指导着，值得推荐,20160814
35,10050303289,277190100728,很好，,20160623
36,10050303289,276730967449,价格很实惠，功能算是全面，但是打肉确实真的不大好打，清理起来也麻烦，会粘肉在里面，试打到新鲜辣椒蒜，果汁，饺子肉，有限定时间的，超过时间会自己断电，过几分钟之后才能重新使用，搅拌的时候会有点臭胶味，有燥音，还好底盘有固定的小吸盘，还不错！辛苦店家把关了，谢谢！,20160617
37,10050303289,276934302665,千挑万选的选了这款真的是没有让我失望！买回来就给宝宝打了桃子！真的打的很细腻！就是声音有一点点小大！不过也能接受！,20160621
38,10050303289,291334933629,挺好用的，很快就收到了，不过我的怎么没有滤网呀,20161112
39,10050303289,288351663088,真心挺实用的，就声音有点大,20161017
40,10050303289,268539019437,谢谢,20160329
41,10050303289,273732944499,满意,20160518
42,10050303289,277099652972,东西挺好的，就是不太会做，慢慢学吧,20160622
43,10050303289,275563324624,宝贝非常的不错！下次还买! 卖家发货及时，服务态度非常棒！,20160609
44,10050303289,275775743322,收到了，已经使用，很好，就是声音大了点。夏天到了，可以自己弄芒果冰沙喝了,20160610
45,10050303289,305174213236,不太满意和超市比稍贵点,20170326
46,10050303289,277409559706,宝贝挺好的。,20160625
47,10050303289,303160278008,之前说有滤网，发来的时候又没了，问客服，说本来就没有，我也是醉了，最后也不理我了。本来就是给孩子做辅食的，就试了下料理杯，煮熟的西蓝花杆都打不碎，不知道是太少了还是本来机子就打不碎，大概七八瓣的样子,20170309
48,10050303289,276475792933,非常的好，和实物一样，昨天榨果汁，女儿很喜欢，是正品，里面各种手续很齐全,20160615
49,10050303289,273346945354,很好，很喜欢。而且声音也不大，总算淘到宝了,20160516
50,10050303289,304338810839,此用户没有填写评论!,20170317
51,10050303289,285226586549,很好用，还很便宜，,20160915
52,10050303289,273407662314,真的很不错，打出来的东东很好喝，虽然打的不是很细，可是喝起来也不错，很喜欢，,20160516
53,10050303289,277517903345,实用,20160627
54,10050303289,303613175039,还没用，用了再来追评吧,20170310
55,10050303289,275976111489,还不错，但磨粉不行，做奶昔什么没问题,20160613
56,10050303289,276260907359,不错，很好用，是正品。。,20160614
57,10050303289,276822653130,用着不错,20160617
58,10050303289,282596560569,不错，价格很便宜，很像正品。,20160818
59,10050303289,279212024419,正品，物超所值，包装好、物流快,20160714
60,10050303289,283714384471,现在用着好有力，久了就不知，全5星,20160830
61,10050303289,303160278008,之前说有滤网，发来的时候又没了，问客服，说本来就没有，我也是醉了，最后也不理我了。本来就是给孩子做辅食的，就试了下料理杯，煮熟的西蓝花杆都打不碎，不知道是太少了还是本来机子就打不碎，大概七八瓣的样子,20170309
62,10050303289,287292107677,买来给病人打果汁喝的，用了几次表示很满意～,20161007
63,10050303289,276213965613,宝贝收到，包装不错，还没用用后追评，客服服务热情,20160612
64,10050303289,282713605000,差评  一点度不好用 噪音太大了,20160821
65,10050303289,291334933629,挺好用的，很快就收到了，不过我的怎么没有滤网呀,20161112
66,10050303289,269132091320,质量不错?，噪音略大。习惯了好评?,20160403
67,10050303289,276462490374,第二次买好用,20160614
68,10050303289,276394366789,还可以应该是正品,20160615
69,10050303289,268181610004,还不错，给宝宝打辅食用,20160322
70,10050303289,277063086118,看起来挺满意的。,20160621
71,10050303289,275973528944,给好评。到的快。用了一下，挺好使。噪音可接受。送的东西也齐了。满意。,20160612
72,10050303289,276909601034,还可以吧，帮朋友买的。,20160619
73,10050303289,281228029543,用了两次感觉还不错，性价比高,20160803
74,10050303289,277225010883,不知道好用不，以后追评。,20160626
75,10050303289,292274166332,还可以,20161119
